xmin,ymin,xmax,ymax,Frame,Label,Preview URL
1,3,157,114,1898.jpg,Weapon,
5,6,152,112,1640.jpg,Weapon,
408,45,1240,883,883.jpg,Weapon,
16,9,551,349,129.jpg,Weapon,
205,170,238,270,897.jpg,Weapon,
64,44,203,136,2822.jpg,Weapon,
6,60,182,275,667.jpg,Weapon,
1,1,157,119,1495.jpg,Weapon,
241,94,713,469,101.jpg,Weapon,
114,31,142,56,2188.jpg,Weapon,
12,8,588,394,115.jpg,Weapon,
2,2,154,116,1481.jpg,Weapon,
28,34,461,326,673.jpg,Weapon,
89,30,137,165,2836.jpg,Weapon,
308,179,366,296,2605.jpg,Weapon,
8,2,449,325,840.jpg,Weapon,
76,50,383,261,698.jpg,Weapon,
23,78,396,340,2163.jpg,Weapon,
90,148,271,250,2177.jpg,Weapon,
32,9,459,344,854.jpg,Weapon,
22,2,157,95,1318.jpg,Weapon,
141,195,341,447,14.jpg,Weapon,
141,114,2547,1696,2611.jpg,Weapon,
3,1,156,114,1330.jpg,Weapon,
279,123,549,270,2639.jpg,Weapon,
7,1,154,119,1456.jpg,Weapon,
4,1,157,118,1442.jpg,Weapon,
72,36,362,261,868.jpg,Weapon,
1,263,495,688,1324.jpg,Weapon,
79,101,101,109,28.jpg,Weapon,
27,135,1240,688,Shotgun_39.jpg,Weapon,
66,68,242,157,2956.jpg,Weapon,
56,31,307,200,1287.jpg,Weapon,
435,518,513,704,713.jpg,Weapon,
20,7,1417,230,Shotgun_11.jpg,Weapon,
515,117,1867,340,Shotgun_11.jpg,Weapon,
35,327,1402,576,Shotgun_11.jpg,Weapon,
485,453,1887,667,Shotgun_11.jpg,Weapon,
24,665,1404,915,Shotgun_11.jpg,Weapon,
499,831,1897,1076,Shotgun_11.jpg,Weapon,
91,54,374,259,707.jpg,Weapon,
2388,1012,2838,1452,1293.jpg,Weapon,
52,59,101,103,2942.jpg,Weapon,
84,50,210,118,2771.jpg,Weapon,
461,77,567,150,1278.jpg,Weapon,
152,40,384,420,934.jpg,Weapon,
237,327,407,504,2017.jpg,Weapon,
180,164,222,219,2003.jpg,Weapon,
126,106,158,134,920.jpg,Weapon,
8,11,283,173,2765.jpg,Weapon,
517,62,831,231,1244.jpg,Weapon,
158,385,249,481,908.jpg,Weapon,
103,68,239,146,2995.jpg,Weapon,
5,1,159,115,1522.jpg,Weapon,
4,15,158,112,1536.jpg,Weapon,
14,80,79,115,2981.jpg,Weapon,
95,78,158,118,2981.jpg,Weapon,
180,79,240,120,2981.jpg,Weapon,
16,7,282,168,2759.jpg,Weapon,
8,106,78,193,1250.jpg,Weapon,
1,1,155,115,1907.jpg,Weapon,
224,605,1578,938,Sniper_73.jpg,Weapon,
7,460,1391,1002,SMG_96.jpg,Weapon,
16,14,227,117,539.jpg,Weapon,
635,110,762,230,SMG_82.jpg,Weapon,
22,294,300,407,SMG_82.jpg,Weapon,
6,94,256,211,SMG_82.jpg,Weapon,
518,294,790,407,SMG_82.jpg,Weapon,
27,133,1030,563,Sniper_67.jpg,Weapon,
509,578,843,914,1913.jpg,Weapon,
151,1,999,744,277.jpg,Weapon,
31,88,463,259,511.jpg,Weapon,
76,6,1009,726,1085.jpg,Weapon,
180,126,257,182,2598.jpg,Weapon,
183,285,1298,870,1091.jpg,Weapon,
33,127,174,249,505.jpg,Weapon,
300,67,363,119,263.jpg,Weapon,
263,78,317,133,2215.jpg,Weapon,
98,78,920,248,Bazooka_32.jpg,Weapon,
100,305,908,534,Bazooka_32.jpg,Weapon,
8,12,490,282,288.jpg,Weapon,
792,420,2007,1797,2573.jpg,Weapon,
166,128,808,602,Handgun_84.jpg,Weapon,
32,217,3778,1867,SMG_41.jpg,Weapon,
130,95,1435,791,2567.jpg,Weapon,
28,1,427,336,Handgun_90.jpg,Weapon,
233,38,775,438,Handgun_90.jpg,Weapon,
7,31,282,192,Bazooka_26.jpg,Weapon,
4,1,154,113,1708.jpg,Weapon,
225,932,837,1323,2201.jpg,Weapon,
913,582,1204,812,2201.jpg,Weapon,
1422,533,1637,679,2201.jpg,Weapon,
1579,478,1758,602,2201.jpg,Weapon,
3,2,152,116,1720.jpg,Weapon,
230,105,346,392,2229.jpg,Weapon,
1,1,184,141,1046.jpg,Weapon,
655,228,1221,647,1052.jpg,Weapon,
12,294,1585,717,Automatic Rifle_4.jpg,Weapon,
1,3,157,117,1734.jpg,Weapon,
165,195,290,287,1044.jpg,Weapon,
4,4,155,114,1722.jpg,Weapon,
3,2,156,115,1736.jpg,Weapon,
14,17,794,232,Automatic Rifle_6.jpg,Weapon,
18,247,792,454,Automatic Rifle_6.jpg,Weapon,
147,44,259,162,2559.jpg,Weapon,
199,100,838,1160,1050.jpg,Weapon,
528,134,1628,1058,Handgun_86.jpg,Weapon,
11,91,334,250,SMG_57.jpg,Weapon,
128,8,453,178,SMG_57.jpg,Weapon,
223,57,268,90,2571.jpg,Weapon,
265,140,1743,946,1078.jpg,Weapon,
242,154,970,392,Bazooka_30.jpg,Weapon,
280,75,585,712,2217.jpg,Weapon,
34,18,703,385,2203.jpg,Weapon,
93,95,492,281,Bazooka_24.jpg,Weapon,
204,95,475,195,Bazooka_24.jpg,Weapon,
193,190,758,397,SMG_43.jpg,Weapon,
153,695,768,1114,2565.jpg,Weapon,
0,98,28,153,1087.jpg,Weapon,
190,766,248,910,513.jpg,Weapon,
23,38,517,377,275.jpg,Weapon,
8,11,151,111,1939.jpg,Weapon,
72,55,2767,702,Sniper_59.jpg,Weapon,
87,803,2726,1615,Sniper_59.jpg,Weapon,
48,22,304,212,261.jpg,Weapon,
248,103,280,139,507.jpg,Weapon,
1,10,640,426,1093.jpg,Weapon,
627,356,1592,718,SMG_94.jpg,Weapon,
1337,827,1451,893,SMG_94.jpg,Weapon,
133,11,820,494,Handgun_45.jpg,Weapon,
15,91,81,123,249.jpg,Weapon,
1,3,157,115,1905.jpg,Weapon,
2,1,158,115,1911.jpg,Weapon,
503,577,2991,1467,Sniper_65.jpg,Weapon,
5,3,155,72,1520.jpg,Weapon,
177,77,455,236,2029.jpg,Weapon,
89,1,201,81,2997.jpg,Weapon,
1,3,608,267,1246.jpg,Weapon,
82,170,216,276,1252.jpg,Weapon,
15,15,258,152,2983.jpg,Weapon,
2,1,159,115,1534.jpg,Weapon,
204,43,429,357,2015.jpg,Weapon,
211,32,425,125,936.jpg,Weapon,
36,51,269,160,2773.jpg,Weapon,
17,37,282,135,2767.jpg,Weapon,
38,32,703,466,922.jpg,Weapon,
7,4,156,117,1508.jpg,Weapon,
169,180,992,744,2001.jpg,Weapon,
57,11,475,301,711.jpg,Weapon,
87,20,1823,1251,1285.jpg,Weapon,
257,22,492,1200,Sword_28.jpg,Weapon,
26,39,147,134,2954.jpg,Weapon,
40,53,118,132,2940.jpg,Weapon,
4,9,292,154,2798.jpg,Weapon,
355,30,547,186,1291.jpg,Weapon,
25,16,473,245,705.jpg,Weapon,
25,89,1019,514,Shotgun_13.jpg,Weapon,
113,4,985,892,Sword_14.jpg,Weapon,
33,725,813,912,Sword_14.jpg,Weapon,
53,553,523,639,Sword_14.jpg,Weapon,
150,41,329,124,2968.jpg,Weapon,
249,149,287,185,739.jpg,Weapon,
2,3,159,118,1454.jpg,Weapon,
3,1,152,111,1332.jpg,Weapon,
3,1,157,117,1326.jpg,Weapon,
242,12,1207,717,2149.jpg,Weapon,
2,1,157,119,1440.jpg,Weapon,
234,115,3097,1451,2161.jpg,Weapon,
5,4,155,116,1468.jpg,Weapon,
51,72,345,301,842.jpg,Weapon,
286,49,842,432,2607.jpg,Weapon,
62,16,1280,713,2613.jpg,Weapon,
27,18,210,119,16.jpg,Weapon,
2,2,400,229,856.jpg,Weapon,
41,17,584,577,2175.jpg,Weapon,
531,448,1101,693,103.jpg,Weapon,
1,1,157,120,1497.jpg,Weapon,
187,26,217,48,665.jpg,Weapon,
23,66,559,345,2820.jpg,Weapon,
145,50,237,120,2834.jpg,Weapon,
3,17,488,219,671.jpg,Weapon,
4,1,151,116,1483.jpg,Weapon,
171,84,1315,460,117.jpg,Weapon,
97,19,160,49,881.jpg,Weapon,
151,53,317,268,659.jpg,Weapon,
245,125,409,346,659.jpg,Weapon,
401,168,495,277,895.jpg,Weapon,
38,64,214,168,2808.jpg,Weapon,
1439,233,1953,656,1130.jpg,Weapon,
7,50,217,200,2439.jpg,Weapon,
1,1,157,116,1656.jpg,Weapon,
1,1,157,119,1642.jpg,Weapon,
272,181,658,361,1124.jpg,Weapon,
258,392,396,458,2405.jpg,Weapon,
33,7,225,500,498.jpg,Weapon,
542,272,682,390,2363.jpg,Weapon,
25,463,1182,715,Knife_88.jpg,Weapon,
63,283,180,378,2377.jpg,Weapon,
543,7,890,532,Grenade Launcher_63.jpg,Weapon,
38,56,273,210,1118.jpg,Weapon,
286,246,486,562,2411.jpg,Weapon,
270,152,307,228,467.jpg,Weapon,
44,198,1832,721,Grenade Launcher_88.jpg,Weapon,
1,4,155,115,1695.jpg,Weapon,
94,25,206,286,301.jpg,Weapon,
303,119,382,259,301.jpg,Weapon,
754,779,5103,3173,Knife_77.jpg,Weapon,
309,162,590,401,2388.jpg,Weapon,
1,3,158,115,1859.jpg,Weapon,
83,98,370,237,315.jpg,Weapon,
3,2,154,113,1681.jpg,Weapon,
46,38,455,307,473.jpg,Weapon,
1,2,157,118,1871.jpg,Weapon,
22,38,865,335,Automatic Rifle_27.jpg,Weapon,
1,3,157,115,1865.jpg,Weapon,
24,316,1472,1258,Automatic Rifle_33.jpg,Weapon,
74,15,436,241,329.jpg,Weapon,
32,14,127,258,328.jpg,Weapon,
1,32,443,266,Automatic Rifle_32.jpg,Weapon,
2,1,156,119,1864.jpg,Weapon,
23,231,371,342,Automatic Rifle_26.jpg,Weapon,
409,235,747,318,Automatic Rifle_26.jpg,Weapon,
25,356,371,442,Automatic Rifle_26.jpg,Weapon,
419,335,739,480,Automatic Rifle_26.jpg,Weapon,
20,474,378,585,Automatic Rifle_26.jpg,Weapon,
412,492,765,595,Automatic Rifle_26.jpg,Weapon,
18,586,373,781,Automatic Rifle_26.jpg,Weapon,
402,616,748,757,Automatic Rifle_26.jpg,Weapon,
85,762,630,982,Automatic Rifle_26.jpg,Weapon,
521,826,741,874,Automatic Rifle_26.jpg,Weapon,
2,3,156,114,1870.jpg,Weapon,
377,161,486,245,1680.jpg,Weapon,
126,163,276,288,314.jpg,Weapon,
2,1,157,116,1858.jpg,Weapon,
236,162,863,531,2389.jpg,Weapon,
67,36,277,230,472.jpg,Weapon,
2,69,399,349,Grenade Launcher_89.jpg,Weapon,
113,122,190,271,466.jpg,Weapon,
91,27,202,289,300.jpg,Weapon,
308,120,386,257,300.jpg,Weapon,
5,1,155,118,1694.jpg,Weapon,
520,505,682,629,2376.jpg,Weapon,
498,16,586,178,2410.jpg,Weapon,
263,191,321,220,1119.jpg,Weapon,
394,64,431,97,1119.jpg,Weapon,
57,121,396,259,499.jpg,Weapon,
0,3,1194,900,Grenade Launcher_76.jpg,Weapon,
382,489,563,677,2404.jpg,Weapon,
90,144,263,290,2362.jpg,Weapon,
104,38,1582,187,Knife_89.jpg,Weapon,
80,212,1565,392,Knife_89.jpg,Weapon,
43,385,1573,566,Knife_89.jpg,Weapon,
28,562,1575,750,Knife_89.jpg,Weapon,
5,4,151,111,1643.jpg,Weapon,
185,155,1043,743,1125.jpg,Weapon,
23,35,262,164,2438.jpg,Weapon,
64,188,578,448,1131.jpg,Weapon,
127,457,478,706,1131.jpg,Weapon,
194,120,258,162,1657.jpg,Weapon,
11,22,276,181,2809.jpg,Weapon,
160,95,186,131,894.jpg,Weapon,
44,199,290,362,658.jpg,Weapon,
131,108,361,271,658.jpg,Weapon,
203,17,427,177,658.jpg,Weapon,
124,64,320,403,880.jpg,Weapon,
225,172,277,247,670.jpg,Weapon,
74,99,319,387,2835.jpg,Weapon,
109,82,271,173,116.jpg,Weapon,
1,1,157,116,1482.jpg,Weapon,
5,3,153,112,1496.jpg,Weapon,
9,222,194,518,102.jpg,Weapon,
33,16,148,211,2821.jpg,Weapon,
130,67,374,218,664.jpg,Weapon,
133,134,375,287,664.jpg,Weapon,
187,89,267,253,857.jpg,Weapon,
20,17,160,247,17.jpg,Weapon,
26,1,490,249,2612.jpg,Weapon,
56,19,829,412,2174.jpg,Weapon,
284,189,332,239,1469.jpg,Weapon,
213,92,269,152,2160.jpg,Weapon,
70,33,225,171,2606.jpg,Weapon,
25,39,399,278,843.jpg,Weapon,
5,7,382,249,843.jpg,Weapon,
2,1,156,116,1327.jpg,Weapon,
7,4,154,113,1441.jpg,Weapon,
28,100,60,159,2148.jpg,Weapon,
4,1,153,119,1455.jpg,Weapon,
2,0,155,110,1333.jpg,Weapon,
137,52,472,275,738.jpg,Weapon,
69,25,136,176,2969.jpg,Weapon,
16,63,928,176,Sword_15.jpg,Weapon,
18,16,476,243,704.jpg,Weapon,
155,125,613,378,1290.jpg,Weapon,
5,71,290,201,2799.jpg,Weapon,
26,8,134,134,2941.jpg,Weapon,
215,341,547,527,Shotgun_12.jpg,Weapon,
621,106,1200,505,Shotgun_12.jpg,Weapon,
4,20,205,112,2955.jpg,Weapon,
458,74,1864,1966,Sword_29.jpg,Weapon,
32,101,100,154,1284.jpg,Weapon,
8,17,484,230,710.jpg,Weapon,
6,31,299,170,923.jpg,Weapon,
4,4,296,166,2766.jpg,Weapon,
228,98,497,274,2000.jpg,Weapon,
11,29,150,120,1509.jpg,Weapon,
223,202,318,274,2014.jpg,Weapon,
2,62,300,179,2772.jpg,Weapon,
1,362,2266,1704,937.jpg,Weapon,
64,59,99,157,2982.jpg,Weapon,
48,389,187,465,1253.jpg,Weapon,
111,121,1068,785,1535.jpg,Weapon,
12,11,376,250,2028.jpg,Weapon,
1,3,158,115,1521.jpg,Weapon,
166,194,333,407,1247.jpg,Weapon,
17,60,89,124,2996.jpg,Weapon,
16,23,1129,687,Sniper_64.jpg,Weapon,
2,2,155,118,1910.jpg,Weapon,
3,3,157,116,1904.jpg,Weapon,
148,136,329,267,248.jpg,Weapon,
246,186,706,419,Sniper_70.jpg,Weapon,
273,120,375,244,260.jpg,Weapon,
1,1,1049,866,1092.jpg,Weapon,
29,43,498,243,506.jpg,Weapon,
12,120,333,442,512.jpg,Weapon,
110,105,186,155,1086.jpg,Weapon,
28,67,79,115,1086.jpg,Weapon,
166,380,1187,1272,Handgun_78.jpg,Weapon,
997,244,1868,1194,Handgun_78.jpg,Weapon,
1907,349,2670,1181,Handgun_78.jpg,Weapon,
4,4,156,115,1938.jpg,Weapon,
20,20,478,222,274.jpg,Weapon,
8,16,348,405,2202.jpg,Weapon,
8,8,253,104,2564.jpg,Weapon,
45,38,346,215,Handgun_93.jpg,Weapon,
175,77,382,210,1079.jpg,Weapon,
226,633,710,990,2570.jpg,Weapon,
11,33,240,201,Handgun_87.jpg,Weapon,
100,141,306,317,Handgun_87.jpg,Weapon,
194,239,394,408,Handgun_87.jpg,Weapon,
328,29,514,181,Handgun_87.jpg,Weapon,
410,120,583,262,Handgun_87.jpg,Weapon,
491,214,643,347,Handgun_87.jpg,Weapon,
114,113,273,345,2216.jpg,Weapon,
887,235,1046,439,2216.jpg,Weapon,
24,66,372,197,Automatic Rifle_7.jpg,Weapon,
58,233,934,472,Bazooka_19.jpg,Weapon,
2,2,156,120,1737.jpg,Weapon,
250,115,1135,690,1051.jpg,Weapon,
185,100,598,301,2558.jpg,Weapon,
557,464,937,1108,1045.jpg,Weapon,
10,3,158,115,1723.jpg,Weapon,
163,65,224,165,2212.jpg,Weapon,
367,565,2215,1965,Handgun_83.jpg,Weapon,
60,25,581,305,SMG_52.jpg,Weapon,
433,320,643,524,2574.jpg,Weapon,
683,206,859,352,2574.jpg,Weapon,
149,140,347,285,1069.jpg,Weapon,
376,122,859,633,Handgun_97.jpg,Weapon,
93,83,1851,1012,SMG_46.jpg,Weapon,
171,80,226,142,2560.jpg,Weapon,
264,105,339,152,2560.jpg,Weapon,
39,34,1143,493,2206.jpg,Weapon,
85,183,1243,320,Bazooka_21.jpg,Weapon,
6,1,157,113,1727.jpg,Weapon,
141,201,958,823,1041.jpg,Weapon,
547,73,592,124,2548.jpg,Weapon,
613,345,813,745,1055.jpg,Weapon,
4,2,156,118,1733.jpg,Weapon,
30,11,477,102,Automatic Rifle_3.jpg,Weapon,
15,112,476,210,Automatic Rifle_3.jpg,Weapon,
15,220,446,330,Automatic Rifle_3.jpg,Weapon,
11,336,486,445,Automatic Rifle_3.jpg,Weapon,
35,361,748,532,Sniper_74.jpg,Weapon,
200,116,796,428,Sniper_74.jpg,Weapon,
1,1,157,115,1900.jpg,Weapon,
59,56,549,284,SMG_91.jpg,Weapon,
180,15,541,258,Handgun_40.jpg,Weapon,
483,162,578,407,258.jpg,Weapon,
1071,162,1166,407,258.jpg,Weapon,
1,2,154,112,1914.jpg,Weapon,
207,12,477,224,270.jpg,Weapon,
493,220,812,528,Sniper_48.jpg,Weapon,
136,11,422,156,1082.jpg,Weapon,
136,110,433,238,1082.jpg,Weapon,
223,100,271,165,516.jpg,Weapon,
131,84,407,254,502.jpg,Weapon,
577,174,611,192,1096.jpg,Weapon,
24,13,444,311,264.jpg,Weapon,
4,3,157,115,1928.jpg,Weapon,
40,44,1457,877,933.jpg,Weapon,
11,37,286,153,2776.jpg,Weapon,
76,161,224,354,2010.jpg,Weapon,
2,3,155,88,1519.jpg,Weapon,
26,75,82,116,2004.jpg,Weapon,
3,2,288,147,2762.jpg,Weapon,
100,114,121,135,927.jpg,Weapon,
75,77,141,163,2992.jpg,Weapon,
96,77,594,378,1243.jpg,Weapon,
2,1,154,108,1525.jpg,Weapon,
7,1,502,179,2038.jpg,Weapon,
7,3,155,97,1531.jpg,Weapon,
301,132,375,209,1257.jpg,Weapon,
61,39,189,194,2986.jpg,Weapon,
10,8,467,420,Sword_11.jpg,Weapon,
24,35,456,215,728.jpg,Weapon,
77,47,103,81,2979.jpg,Weapon,
14,15,477,212,714.jpg,Weapon,
268,133,322,273,1280.jpg,Weapon,
58,51,123,168,2951.jpg,Weapon,
13,16,281,218,2789.jpg,Weapon,
68,9,230,90,2945.jpg,Weapon,
20,45,1272,708,Sword_39.jpg,Weapon,
54,35,586,360,1294.jpg,Weapon,
26,93,445,264,700.jpg,Weapon,
41,160,91,270,847.jpg,Weapon,
16,505,382,1029,2602.jpg,Weapon,
184,52,201,86,2164.jpg,Weapon,
501,32,530,88,2164.jpg,Weapon,
3,2,157,116,1479.jpg,Weapon,
7,72,144,170,2170.jpg,Weapon,
1329,19,1620,815,2616.jpg,Weapon,
999,44,1364,684,2616.jpg,Weapon,
215,36,248,71,13.jpg,Weapon,
19,17,378,268,853.jpg,Weapon,
2,3,158,116,1337.jpg,Weapon,
3,3,155,116,1451.jpg,Weapon,
86,121,220,218,2158.jpg,Weapon,
2,28,149,106,1445.jpg,Weapon,
1,1,156,114,1323.jpg,Weapon,
54,235,965,615,2819.jpg,Weapon,
130,64,866,477,884.jpg,Weapon,
133,163,163,244,890.jpg,Weapon,
10,53,295,208,648.jpg,Weapon,
397,108,486,203,660.jpg,Weapon,
85,18,225,167,2825.jpg,Weapon,
35,10,780,536,106.jpg,Weapon,
8,5,154,115,1492.jpg,Weapon,
6,3,155,115,1486.jpg,Weapon,
247,58,512,235,112.jpg,Weapon,
67,8,255,138,2831.jpg,Weapon,
21,35,466,304,674.jpg,Weapon,
13,53,137,218,2366.jpg,Weapon,
294,195,352,360,2366.jpg,Weapon,
387,56,537,195,2366.jpg,Weapon,
463,137,587,330,2366.jpg,Weapon,
748,53,867,191,2366.jpg,Weapon,
21,50,982,550,2400.jpg,Weapon,
2,14,791,252,Grenade Launcher_72.jpg,Weapon,
5,260,797,504,Grenade Launcher_72.jpg,Weapon,
102,58,348,324,1109.jpg,Weapon,
97,292,1107,668,Grenade Launcher_66.jpg,Weapon,
79,86,491,342,489.jpg,Weapon,
100,223,322,565,2414.jpg,Weapon,
493,415,573,612,2372.jpg,Weapon,
1,1,157,113,1653.jpg,Weapon,
119,330,175,396,1135.jpg,Weapon,
428,306,517,586,2428.jpg,Weapon,
25,15,764,511,1121.jpg,Weapon,
2,3,158,119,1647.jpg,Weapon,
2,2,157,116,1874.jpg,Weapon,
50,57,478,317,338.jpg,Weapon,
135,28,318,221,Automatic Rifle_22.jpg,Weapon,
410,25,587,204,Automatic Rifle_22.jpg,Weapon,
177,241,360,412,Automatic Rifle_22.jpg,Weapon,
502,237,686,429,Automatic Rifle_22.jpg,Weapon,
2,1,157,120,1860.jpg,Weapon,
1,3,158,119,1848.jpg,Weapon,
